Istasyon;Yil;ay;MB;RMB;RMS;RRMS;STD;COR
17130;2015;1;-99;-99;-99;-99;-99;-99
17130;2015;2;-99;-99;-99;-99;-99;-99
17130;2015;3;-99;-99;-99;-99;-99;-99
17130;2015;4;-99;-99;-99;-99;-99;-99
17130;2015;5;-99;-99;-99;-99;-99;-99
17130;2015;6;-0,581;-1,264;0,794;1,727;0,541;0,219
17130;2015;7;-0,584;-1,360;0,801;1,867;0,549;0,619
17130;2015;8;-0,673;14,417;7,336;-157,208;7,305;0,113
17130;2015;9;-0,411;-0,253;1,058;0,652;0,975;0,794
17130;2015;10;-0,351;-0,342;1,323;1,288;1,276;0,444
17130;2015;11;-0,155;-0,058;4,830;1,811;4,828;0,485
17130;2015;12;-0,444;-0,146;10,865;3,566;10,855;0,602
17130;2016;1;-0,758;-1,407;2,392;4,440;2,269;0,191
17130;2016;2;-1,063;-0,716;2,986;2,010;2,791;0,678
17130;2016;3;-0,601;-0,497;1,540;1,273;1,418;0,863
17130;2016;4;-99;-99;-99;-99;-99;-99
17130;2016;5;-99;-99;-99;-99;-99;-99
17130;2016;6;-99;-99;-99;-99;-99;-99
17130;2016;7;-99;-99;-99;-99;-99;-99
17130;2016;8;-99;-99;-99;-99;-99;-99
17130;2016;9;-99;-99;-99;-99;-99;-99
17130;2016;10;-99;-99;-99;-99;-99;-99
17130;2016;11;-99;-99;-99;-99;-99;-99
17130;2016;12;-99;-99;-99;-99;-99;-99
17240;2015;1;-99;-99;-99;-99;-99;-99
17240;2015;2;-99;-99;-99;-99;-99;-99
17240;2015;3;-99;-99;-99;-99;-99;-99
17240;2015;4;-99;-99;-99;-99;-99;-99
17240;2015;5;-99;-99;-99;-99;-99;-99
17240;2015;6;0,671;0,378;1,003;0,566;0,746;0,729
17240;2015;7;1,142;0,400;3,512;1,231;3,321;0,676
17240;2015;8;1,016;0,449;2,393;1,059;2,167;0,612
17240;2015;9;2,263;0,564;7,576;1,889;7,230;0,926
17240;2015;10;1,053;0,460;4,504;1,969;4,379;0,740
17240;2015;11;1,355;0,390;5,826;1,676;5,666;0,722
17240;2015;12;0,492;0,131;2,117;0,563;2,059;0,793
17240;2016;1;0,427;0,366;1,971;1,688;1,925;0,608
17240;2016;2;-0,532;-0,369;1,439;0,998;1,337;0,818
17240;2016;3;0,310;0,209;3,322;2,239;3,307;0,421
17240;2016;4;-99;-99;-99;-99;-99;-99
17240;2016;5;-99;-99;-99;-99;-99;-99
17240;2016;6;-99;-99;-99;-99;-99;-99
17240;2016;7;-99;-99;-99;-99;-99;-99
17240;2016;8;-99;-99;-99;-99;-99;-99
17240;2016;9;-99;-99;-99;-99;-99;-99
17240;2016;10;-99;-99;-99;-99;-99;-99
17240;2016;11;-99;-99;-99;-99;-99;-99
17240;2016;12;-99;-99;-99;-99;-99;-99
17351;2015;1;-99;-99;-99;-99;-99;-99
17351;2015;2;-99;-99;-99;-99;-99;-99
17351;2015;3;-99;-99;-99;-99;-99;-99
17351;2015;4;-99;-99;-99;-99;-99;-99
17351;2015;5;-99;-99;-99;-99;-99;-99
17351;2015;6;0,074;0,108;0,517;0,750;0,512;0,307
17351;2015;7;-0,245;-0,375;1,280;1,962;1,257;0,261
17351;2015;8;-1,505;1,450;40,646;-39,160;40,618;-0,050
17351;2015;9;0,517;0,333;1,366;0,879;1,264;0,763
17351;2015;10;0,484;0,201;1,361;0,564;1,272;0,802
17351;2015;11;-1,030;-0,462;5,403;2,426;5,304;0,537
17351;2015;12;-0,890;-0,317;5,003;1,782;4,923;0,617
17351;2016;1;-0,812;-0,817;2,125;2,139;1,964;0,666
17351;2016;2;-0,618;-0,234;3,112;1,180;3,050;0,747
17351;2016;3;0,000;0,000;1,424;0,700;1,424;0,831
17351;2016;4;-99;-99;-99;-99;-99;-99
17351;2016;5;-99;-99;-99;-99;-99;-99
17351;2016;6;-99;-99;-99;-99;-99;-99
17351;2016;7;-99;-99;-99;-99;-99;-99
17351;2016;8;-99;-99;-99;-99;-99;-99
17351;2016;9;-99;-99;-99;-99;-99;-99
17351;2016;10;-99;-99;-99;-99;-99;-99
17351;2016;11;-99;-99;-99;-99;-99;-99
17351;2016;12;-99;-99;-99;-99;-99;-99
17220;2015;1;-99;-99;-99;-99;-99;-99
17220;2015;2;-99;-99;-99;-99;-99;-99
17220;2015;3;-99;-99;-99;-99;-99;-99
17220;2015;4;-99;-99;-99;-99;-99;-99
17220;2015;5;-99;-99;-99;-99;-99;-99
17220;2015;6;-0,127;-0,209;0,811;1,340;0,801;0,299
17220;2015;7;-0,626;-1,044;1,647;2,745;1,523;0,356
17220;2015;8;-0,136;-0,180;1,075;1,421;1,067;-0,058
17220;2015;9;-0,009;-0,008;1,484;1,256;1,484;0,586
17220;2015;10;-0,666;-0,887;1,328;1,771;1,150;0,631
17220;2015;11;-1,167;-0,789;4,975;3,365;4,836;0,286
17220;2015;12;-2,419;-1,350;9,360;5,223;9,042;0,664
17220;2016;1;-0,673;-0,952;2,567;3,633;2,478;0,535
17220;2016;2;-1,257;-1,688;4,238;5,691;4,048;0,538
17220;2016;3;-0,526;-0,901;1,464;2,508;1,367;0,246
17220;2016;4;-99;-99;-99;-99;-99;-99
17220;2016;5;-99;-99;-99;-99;-99;-99
17220;2016;6;-99;-99;-99;-99;-99;-99
17220;2016;7;-99;-99;-99;-99;-99;-99
17220;2016;8;-99;-99;-99;-99;-99;-99
17220;2016;9;-99;-99;-99;-99;-99;-99
17220;2016;10;-99;-99;-99;-99;-99;-99
17220;2016;11;-99;-99;-99;-99;-99;-99
17220;2016;12;-99;-99;-99;-99;-99;-99
17064;2015;1;-99;-99;-99;-99;-99;-99
17064;2015;2;-99;-99;-99;-99;-99;-99
17064;2015;3;-99;-99;-99;-99;-99;-99
17064;2015;4;-99;-99;-99;-99;-99;-99
17064;2015;5;-99;-99;-99;-99;-99;-99
17064;2015;6;0,203;0,308;0,673;1,019;0,641;0,437
17064;2015;7;0,297;0,196;1,307;0,862;1,273;0,829
17064;2015;8;0,008;0,016;0,444;0,842;0,444;0,285
17064;2015;9;-1,280;-7,837;20,368;124,704;20,328;0,031
17064;2015;10;-0,747;26,675;12,278;-438,510;12,256;-0,700
17064;2015;11;0,650;0,379;4,778;2,787;4,734;0,217
17064;2015;12;-0,174;-0,181;1,856;1,929;1,848;0,447
17064;2016;1;0,253;0,351;0,450;0,624;0,372;0,724
17064;2016;2;-1,245;-1,465;7,998;9,410;7,901;0,028
17064;2016;3;-0,258;-0,184;3,466;2,468;3,456;0,664
17064;2016;4;-99;-99;-99;-99;-99;-99
17064;2016;5;-99;-99;-99;-99;-99;-99
17064;2016;6;-99;-99;-99;-99;-99;-99
17064;2016;7;-99;-99;-99;-99;-99;-99
17064;2016;8;-99;-99;-99;-99;-99;-99
17064;2016;9;-99;-99;-99;-99;-99;-99
17064;2016;10;-99;-99;-99;-99;-99;-99
17064;2016;11;-99;-99;-99;-99;-99;-99
17064;2016;12;-99;-99;-99;-99;-99;-99
17030;2015;1;-99;-99;-99;-99;-99;-99
17030;2015;2;-99;-99;-99;-99;-99;-99
17030;2015;3;-99;-99;-99;-99;-99;-99
17030;2015;4;-99;-99;-99;-99;-99;-99
17030;2015;5;-99;-99;-99;-99;-99;-99
17030;2015;6;-0,103;-0,128;0,818;1,017;0,812;0,824
17030;2015;7;0,540;0,374;2,216;1,533;2,149;0,179
17030;2015;8;0,380;0,554;0,661;0,962;0,540;0,344
17030;2015;9;0,069;0,044;2,375;1,506;2,374;0,398
17030;2015;10;-0,671;-2,664;6,155;24,426;6,119;0,112
17030;2015;11;-0,502;-0,287;1,772;1,012;1,699;0,662
17030;2015;12;-99;-99;-99;-99;-99;-99
17030;2016;1;-0,325;-1,020;0,590;1,852;0,493;0,243
17030;2016;2;-0,971;-0,890;4,339;3,978;4,229;0,393
17030;2016;3;-0,939;-0,711;5,625;4,258;5,546;0,517
17030;2016;4;-99;-99;-99;-99;-99;-99
17030;2016;5;-99;-99;-99;-99;-99;-99
17030;2016;6;-99;-99;-99;-99;-99;-99
17030;2016;7;-99;-99;-99;-99;-99;-99
17030;2016;8;-99;-99;-99;-99;-99;-99
17030;2016;9;-99;-99;-99;-99;-99;-99
17030;2016;10;-99;-99;-99;-99;-99;-99
17030;2016;11;-99;-99;-99;-99;-99;-99
17030;2016;12;-99;-99;-99;-99;-99;-99
17095;2015;1;-99;-99;-99;-99;-99;-99
17095;2015;2;-99;-99;-99;-99;-99;-99
17095;2015;3;-99;-99;-99;-99;-99;-99
17095;2015;4;-99;-99;-99;-99;-99;-99
17095;2015;5;-99;-99;-99;-99;-99;-99
17095;2015;6;-1,705;-2,773;12,289;19,982;12,170;0,225
17095;2015;7;0,148;0,097;10,011;6,586;10,010;0,407
17095;2015;8;0,856;0,443;3,161;1,635;3,043;0,621
17095;2015;9;0,663;0,239;2,771;0,999;2,691;0,435
17095;2015;10;0,712;0,394;2,207;1,221;2,090;0,496
17095;2015;11;-0,226;-0,129;4,100;2,333;4,094;0,499
17095;2015;12;1,553;0,345;25,111;5,576;25,063;0,004
17095;2016;1;-0,647;-0,366;6,357;3,592;6,324;0,414
17095;2016;2;-0,667;-0,326;5,443;2,662;5,402;0,475
17095;2016;3;0,348;0,195;6,290;3,526;6,280;0,287
17095;2016;4;-99;-99;-99;-99;-99;-99
17095;2016;5;-99;-99;-99;-99;-99;-99
17095;2016;6;-99;-99;-99;-99;-99;-99
17095;2016;7;-99;-99;-99;-99;-99;-99
17095;2016;8;-99;-99;-99;-99;-99;-99
17095;2016;9;-99;-99;-99;-99;-99;-99
17095;2016;10;-99;-99;-99;-99;-99;-99
17095;2016;11;-99;-99;-99;-99;-99;-99
17095;2016;12;-99;-99;-99;-99;-99;-99
17281;2015;1;-99;-99;-99;-99;-99;-99
17281;2015;2;-99;-99;-99;-99;-99;-99
17281;2015;3;-99;-99;-99;-99;-99;-99
17281;2015;4;-99;-99;-99;-99;-99;-99
17281;2015;5;-99;-99;-99;-99;-99;-99
17281;2015;6;-0,646;-0,349;2,072;1,120;1,969;0,538
17281;2015;7;0,124;0,043;0,822;0,289;0,813;0,911
17281;2015;8;0,571;0,178;1,302;0,406;1,170;0,853
17281;2015;9;1,125;0,250;5,664;1,260;5,551;0,432
17281;2015;10;0,911;0,366;2,262;0,909;2,070;0,889
17281;2015;11;0,093;0,035;2,573;0,973;2,572;0,588
17281;2015;12;-1,573;-0,892;4,879;2,766;4,619;0,535
17281;2016;1;-0,345;-0,381;1,247;1,376;1,198;0,591
17281;2016;2;-1,099;-0,890;2,761;2,237;2,534;0,596
17281;2016;3;-0,661;-0,495;1,881;1,409;1,761;0,657
17281;2016;4;-99;-99;-99;-99;-99;-99
17281;2016;5;-99;-99;-99;-99;-99;-99
